category,term,raw_term,source
innovation_endowment,院士,院士,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,专家,专家,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,博士,博士,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,工程师,工程师,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术人员,技术人员,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研人员,科研人员,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科技人员,科技人员,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发人员,研发人员,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新人员,创新人员,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术人才,技术人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新人才,创新人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发人才,研发人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研人才,科研人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科技人才,科技人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术骨干,技术骨干,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术带头人,技术带头人,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术业务人才,技术业务人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术拔尖人才,技术拔尖人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术储备人才,技术储备人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术方面人才,技术方面人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术工种人才,技术工种人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术管理人才,技术管理人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术技能人才,技术技能人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术协同人才,技术协同人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术型人才,技术型人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术支持人才,技术支持人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术专业人才,技术专业人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科技拔尖人才,科技拔尖人才,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新队伍,创新队伍,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发队伍,研发队伍,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术队伍,技术队伍,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研团队,科研团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发团队,研发团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,攻关团队,攻关团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新团队,创新团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术团队,技术团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,工艺团队,工艺团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术创客团队,技术创客团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术服务团队,技术服务团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术工程团队,技术工程团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术工人团队,技术工人团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术攻坚团队,技术攻坚团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术沟通团队,技术沟通团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术管理团队,技术管理团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术核心团队,技术核心团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术后台团队,技术后台团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术精英团队,技术精英团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术开发团队,技术开发团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术能力团队,技术能力团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术融合团队,技术融合团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术实力团队,技术实力团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术熟练团队,技术熟练团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术梯队,技术梯队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术型团队,技术型团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术研究团队,技术研究团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术应用团队,技术应用团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术优势团队,技术优势团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术运维团队,技术运维团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术运营团队,技术运营团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术支持团队,技术支持团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术中坚团队,技术中坚团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术专业团队,技术专业团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术专长团队,技术专长团队,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术资源团队实验室,技术资源团队实验室,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发中心,研发中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术中心,技术中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研中心,科研中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研究中心,研究中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,开发中心,开发中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新中心,创新中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创制中心,创制中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,实验中心,实验中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,检验中心,检验中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,检测中心,检测中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,诊断中心,诊断中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,孵化器,孵化器,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,院士工作站,院士工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,院士专家工作站,院士专家工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,博士后工作站,博士后工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,博士工作站,博士工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研工作站,科研工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研究生工作站,研究生工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,教授工作站,教授工作站,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,双创示范基地,双创示范基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,产学研基地,产学研基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新基地,创新基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新平台,创新平台,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术平台,技术平台,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,开发平台,开发平台,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发平台,研发平台,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新示范基地,创新示范基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新实践基地,创新实践基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,孵化基地,孵化基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,孵化示范基地,孵化示范基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,孵化中心,孵化中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,成果转化中心,成果转化中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术研究示范基地,技术研究示范基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研基地,科研基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研楼,科研楼,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,实验基地,实验基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,学研结合示范基地,学研结合示范基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发大楼,研发大楼,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发大厦,研发大厦,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发基地,研发基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发楼,研发楼,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发生产基地,研发生产基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发制造基地,研发制造基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研发总部,研发总部,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研究基地,研究基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研究院,研究院,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研究所,研究所,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,云计算中心,云计算中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,云数据中心,云数据中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,试验基地,试验基地,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,试验室,试验室,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,试验中心,试验中心,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,孵化产业平台自主知识产权,孵化产业平台自主知识产权,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,核心技术,核心技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,专有技术,专有技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,自主技术,自主技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,前沿技术,前沿技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,尖端技术,尖端技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,尖端科技,尖端科技,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,高尖技术,高尖技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,精尖技术,精尖技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,顶尖技术,顶尖技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,高端技术,高端技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,领先技术,领先技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术领先,技术领先,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术优势,技术优势,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,先进技术,先进技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,先进设备,先进设备,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,成熟技术,成熟技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,自主版权,自主版权,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,核心能力,核心能力,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,核心知识,核心知识,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术储备产学研,技术储备产学研,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术合作,技术合作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术交流合作,技术交流合作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,合作开发,合作开发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,合作研发,合作研发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,合作研制,合作研制,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,共同研发,共同研发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,共同开发,共同开发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,协同研发,协同研发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,共同研究,共同研究,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术联盟,技术联盟,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,开发联盟,开发联盟,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,创新联盟,创新联盟,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科技合作,科技合作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,研究合作,研究合作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研合作,科研合作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科技协同,科技协同,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科技协作,科技协作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,联合开发,联合开发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,联合研发,联合研发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,联合研制,联合研制,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,联合研究,联合研究,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,技术协作,技术协作,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,协同创新,协同创新,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,高校,高校,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,大学,大学,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,院校,院校,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研院所,科研院所,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,中科院,中科院,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,中国科学院,中国科学院,Cheng_Xinsheng_et_al_2022_Table_1
innovation_endowment,科研机构,科研机构,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,创新,创新,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,技术,技术,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,研发,研发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,研究,研究,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,开发,开发,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,发明,发明,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,专利,专利,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,研制,研制,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,科研,科研,Cheng_Xinsheng_et_al_2022_Table_1
innovation_target,科技,科技,Cheng_Xinsheng_et_al_2022_Table_1
innovation_process,试制,试制,Cheng_Xinsheng_et_al_2022_Table_1
innovation_process,打样,打样,Cheng_Xinsheng_et_al_2022_Table_1
innovation_process,送样,送样,Cheng_Xinsheng_et_al_2022_Table_1
innovation_process,试烧,试烧,Cheng_Xinsheng_et_al_2022_Table_1
innovation_process,试样,试样,Cheng_Xinsheng_et_al_2022_Table_1
innovation_process,试做,试做,Cheng_Xinsheng_et_al_2022_Table_1
