custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,summary_glm4_tokens,Summary_len_proxy,Summary_len_glm4,Redundancy_chunk_proxy,Redundancy_chunk_glm4,Redundancy_chunk_proxy_w99,Redundancy_chunk_glm4_w99,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target
688001_1206416030_glm4_dewrap_join_chunk_0001,688001,华兴源创,1206416030,1,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6912,6500,3983,3983,17,3983,265,266,"公司主营平板显示及集成电路检测设备研发、生产和销售，产品包括显示、触控、光学、老化、电路、信号、自动化检测设备及检测治具，应用于LCD、OLED、集成电路、汽车电子等领域。公司检测设备软件和核心信号发生器、精密对位压接及移载平台、光学测试仪、分选机等硬件主要自主研发，柔性OLED Mura补偿通过率约98%。2016-2018年研发投入分别为4,771.98万元、9,350.78万元和13,851.83万元，占营业收入9.25%、6.83%和13.78%；主营业务收入中检测设备2018年占53.21%、检测治具占38.61%。",133,115,115,0,18,21,30,28,15,3,18,0.1565217391304348,3,-15,2.0869565217391304,,158,133,158,29.94736842105263,25.20886075949367,29.94736842105263,25.20886075949367,213,154,53.4772784333417,38.664323374340945
688001_1206416030_glm4_dewrap_join_chunk_0002,688001,华兴源创,1206416030,2,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7159,6640,3998,3998,17,3998,129,129,本段主要为平板显示检测及集成电路专用设备行业主管部门、协会、产业政策和全球显示产业趋势说明，发行人绑定信息较少。可保留的核心事实是公司产品属于专用设备制造业及智能装备制造相关领域，下游LCD、OLED和集成电路产业政策支持检测设备、专用装备和国产化配套发展。,65,92,92,0,9,70,9,3,1,0,1,0.0108695652173913,2,1,1.0978260869565215,,68,65,68,61.50769230769231,58.794117647058826,61.104238805970084,55.175409056316575,166,79,41.5207603801901,19.759879939969984
688001_1206416030_glm4_dewrap_join_chunk_0003,688001,华兴源创,1206416030,3,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6992,6483,3996,3996,17,3996,126,126,本段主要为中国平板显示、OLED、半导体设备市场及检测行业发展背景，发行人绑定信息有限。可保留的是公司为国内领先的检测设备与整线检测系统解决方案提供商，主营平板显示及集成电路检测设备研发、生产和销售，并凭借研发设计与生产能力成为国内外知名企业合作伙伴。,63,74,74,0,5,54,10,4,1,0,1,0.0135135135135135,2,1,1.2162162162162162,,64,63,64,63.42857142857143,62.4375,61.104238805970084,55.175409056316575,99,75,24.774774774774777,18.76876876876877
688001_1206416030_glm4_dewrap_join_chunk_0004,688001,华兴源创,1206416030,4,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7168,6718,3996,3996,17,3996,269,270,发行人平板显示检测产品持续迭代，2017-2018年推出支持OLED、8K、De-Mura、AOI、Gamma调整等设备，覆盖显示、触控、光学及自动化检测，2017年量产交付OLED自动化检测设备，2018年量产交付OLED屏幕Mura补偿设备，并获苹果、三星、夏普、京东方等客户认可。公司2017年成立集成电路事业部，研发超大规模数模混合芯片测试机平台，可适配MCU、RF、CIS、ASIC、LCD/OLED Driver等测试；CIS测试机在图像采集和传输等指标上对标泰瑞达产品，已交付封测工厂及全球知名CIS芯片厂商自建工厂量产验证。,135,83,83,0,7,22,15,18,16,5,21,0.253012048192771,3,-18,2.3493975903614457,,159,135,159,29.6,25.132075471698112,29.6,25.132075471698112,243,172,60.810810810810814,43.04304304304304
688001_1206416030_glm4_dewrap_join_chunk_0005,688001,华兴源创,1206416030,5,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7012,6625,3799,3799,17,3799,236,237,公司研发人员超过40%，2018年研发费用占营业收入13.78%，在显示、触控、图像算法、自动化等方面具备定制化和整体解决方案能力，LCD与柔性OLED触控检测突破国外长期垄断。2017年成立集成电路事业部后，公司研发E06超大规模数模混合芯片测试机平台，可用于MCU、ASIC、CMOS SENSOR、指纹识别芯片测试，并对电压、电流、时间、温度、电阻、电容、频率等参数进行高速高精度测试。公司平板显示检测产品获得苹果、三星、LG等客户认可，但产能规模较小、融资渠道单一。,118,74,74,0,5,21,19,17,10,2,12,0.1621621621621621,3,-9,2.1621621621621623,,131,118,131,32.19491525423729,29.0,32.19491525423729,29.0,218,123,57.383521979468284,32.376941300342196
688001_1206416030_glm4_dewrap_join_chunk_0006,688001,华兴源创,1206416030,6,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7019,6554,3940,3940,17,3940,267,268,发行人为国内领先的检测设备与整线检测系统解决方案提供商，产品包括平板显示检测设备、集成电路检测设备和汽车电子检测设备，客户认可度高，与国际知名平板或模组厂商及消费电子终端品牌商保持长期合作。公司核心竞争力在于数字及模拟信号高速检测板卡、平板显示机器视觉图像算法、高精度自动化与精密连接组件设计制造能力，并可自主研发超大规模数模混合SoC芯片测试设备，E06系列测试系统核心性能指标具备市场竞争力和性价比优势。报告期内公司研发团队400人、研发人员比例超过40%，2017年OLED检测设备获苹果认可并用于iPhone X平板显示器检测。,134,68,68,0,6,15,19,15,10,3,13,0.1911764705882352,3,-10,2.25,,139,134,139,29.402985074626866,28.345323741007196,29.402985074626866,28.345323741007196,223,149,56.598984771573605,37.81725888324873
688001_1206416030_glm4_dewrap_join_chunk_0007,688001,华兴源创,1206416030,7,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6900,6435,3991,3991,17,3991,277,277,"公司2016-2018年前五大客户销售占主营业务收入78.99%、88.06%和61.57%，2017年越南三星销售81,755.05万元、占59.68%，APPLE销售27,224.16万元、占19.87%；2018年前五大客户为LG、越南三星、泰科、时捷电子、京东方，合计61,886.48万元、占61.57%。主要客户包括苹果、三星、LG、夏普、泰科、京东方等，均为平板显示或消费电子产业链重要客户。公司2013年成为苹果合格供应商，2016年开始接触越南三星，2017年正式销售检测设备，并因设备获苹果认可由苹果指定越南三星采购触控检测相关设备。",139,76,76,0,8,9,14,17,20,8,28,0.3684210526315789,3,-25,2.736842105263158,,166,139,166,28.712230215827336,24.042168674698797,28.712230215827336,24.042168674698797,119,64,29.81708844901027,16.036081182660986
688001_1206416030_glm4_dewrap_join_chunk_0008,688001,华兴源创,1206416030,8,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7500,7155,3994,3994,17,3994,280,280,"报告期内苹果公司直接采购及指定第三方向公司采购合计影响收入18,945.54万元、57,913.78万元和45,963.51万元，占收入36.72%、42.28%和45.73%；苹果产业链厂商自主决定采购收入分别为19,817.25万元、68,027.55万元和20,898.96万元。公司对苹果存在一定依赖，但2013年成为其合格供应商后，持续参与历代苹果手机屏幕部分检测工序设备研发与生产，并负责已售设备升级改造，形成持续合作。公司同时开拓京东方等客户并布局集成电路测试，2018年对京东方销售8,547.02万元，超大规模SoC测试机已交付标杆客户验证。",140,89,89,0,7,18,18,18,20,8,28,0.3146067415730337,3,-25,2.561797752808989,,168,140,168,28.52857142857143,23.773809523809526,28.52857142857143,23.773809523809526,197,135,49.32398597896846,33.80070105157736
688001_1206416030_glm4_dewrap_join_chunk_0009,688001,华兴源创,1206416030,9,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6633,6012,3972,3972,17,3972,283,283,"公司客户名称按合同或订单签订并结算口径披露，境外客户订单主要要求将产品交付至客户所在地或指定工厂，货款由订单主体结算，物流与资金流一致；报告期外销收入、出口报关单金额及免抵退申报表金额一致。公司生产和测试部门基本满负荷，检测设备2016-2018年产量5,202台、10,856台和13,085台，销量5,353台、11,151台和13,513台；检测治具产量932,604件、978,666件和1,191,057件。原材料主要为电气、电子、机械和加工部品，2018年采购总额46,695.22万元，前五大供应商占28.25%，不存在单一原材料供应商采购超过50%。",142,82,82,0,7,10,21,20,19,5,24,0.2926829268292683,3,-21,2.597560975609756,,179,142,179,27.971830985915492,22.189944134078214,27.971830985915492,22.189944134078214,47,24,11.832829808660625,6.042296072507553
688001_1206416030_glm4_dewrap_join_chunk_0010,688001,华兴源创,1206416030,10,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6090,5292,3978,3978,17,3978,212,212,公司主要向行芝达、艾睿电子、奥特斯、得捷电子、泰科、安富利等采购电气部品、电子部品、PCB板、集成电路IC、继电器、料机等，2018年前五大供应商采购占比42.60%，2017年和2016年分别为62.21%和63.27%。主要供应商与公司不存在关联关系或其他利益安排，采购价格通过不少于两家供应商询价、比价、议价确定。报告期同品牌同型号原材料采购单价波动不大，机器人手臂、相机、接插件和集成电路IC等可比型号价格总体平稳。,106,86,86,0,9,14,23,20,17,3,20,0.2325581395348837,3,-17,2.36046511627907,,131,106,131,37.528301886792455,30.366412213740457,37.528301886792455,30.366412213740457,25,13,6.28456510809452,3.2679738562091503
