custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,source_dir
688071_1210551602_glm4_dewrap_join_chunk_0001,688071,华依科技,1210551602,1,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7166,6946,3961,3961,18,3961,232,232,"公司专注汽车动力总成智能测试设备及测试服务，形成发动机、变速箱、涡轮增压器、水油泵、新能源动力总成五大设备体系，并提供研发测试服务。公司拥有授权发明专利10项、实用新型70项、软件著作权77项，是“发动机冷试方法”行业标准第一起草单位，发动机冷试设备2004年交付上汽通用。核心产品覆盖冷试、变速箱、新能源总成等测试，部分设备转速达16,000rpm，水油泵设备温度精度高于±1℃、压力精度高于0.05bar；测试服务实验室50多个，已取得CNAS和检验检测资质。",116,96,96,0,8,20,24,24,16,4,20,0.2083333333333333,3,-17,2.3333333333333335,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0002,688071,华依科技,1210551602,2,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7279,6972,3974,3974,18,3974,230,230,"2020年公司主营收入30,014.22万元，发动机、变速箱、新能源动力总成测试设备收入占比分别为27.22%、28.29%、28.05%，新能源汽车动力总成测试服务占14.74%。公司采取订单式非标生产、以产定购采购、直销和项目化定价模式，测试设备面向工厂下线场景销售，测试服务依托自建实验室向研发客户收取服务费。2003年至2012年公司产业化发动机冷试产品并形成8项软件著作权和35项专利，2013年以来拓展至变速箱、涡轮增压器、水油泵和新能源总成测试。",115,88,88,0,10,31,17,22,7,1,8,0.0909090909090909,3,-5,1.8636363636363635,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0003,688071,华依科技,1210551602,3,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7231,6887,3985,3985,18,3985,126,126,公司主营汽车动力总成智能测试设备和测试服务，按科创板领域划分属于高端装备领域中的智能制造细分领域，应用于汽车动力总成开发试验、工程验证和品质测试。公司所属行业为专用设备制造业C35，主营业务归入战略性新兴产业分类中的高端装备制造产业、智能制造装备产业。,63,74,74,0,6,55,9,4,0,0,0,0.0,2,2,1.148648648648649,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0004,688071,华依科技,1210551602,4,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7252,7070,3887,3887,18,3887,182,182,公司同时布局燃油车和新能源车测试领域，称已具备客户资源、品牌认知、核心自主技术和荣誉认证，主营产品可覆盖两类市场需求。公司通过汽车动力总成智能测试设备和测试服务采集关键基础数据，构建动力总成数据信息库，为产品研发、设计和生产质量控制提供依据。发行人定位为汽车动力总成智能制造供应商，拟通过智能化测试设备和服务支持动力总成自主技术突破，并改善性能、质量和能耗等指标。,91,82,82,0,4,48,17,9,4,0,4,0.048780487804878,3,-1,1.524390243902439,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0005,688071,华依科技,1210551602,5,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7443,7304,3943,3943,18,3943,205,205,公司围绕汽车动力总成测试，已由单一设备供应延伸至产品加服务模式，并对标AVL等国际龙头的设备、服务和工程咨询一体化路径。公司在测试设备软件中加入专家系统，利用人工智能算法进行发动机故障诊断，并通过测试服务数据管理、数据挖掘和反哺优化测试系统提升客户研发效率。公司称在满足客户测试需求和技术性能指标相当时，依靠产品性价比、项目执行能力和本地化服务与国外厂商竞争，发动机冷试设备已形成设备方案、供应和软件配套能力。,103,79,79,0,3,42,14,14,6,0,6,0.0759493670886076,3,-3,1.7215189873417722,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0006,688071,华依科技,1210551602,6,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7529,7276,3983,3983,18,3983,116,116,公司2004年研制成功首台发动机冷试设备并交付上汽通用，在国内发动机冷试领域起步较早。公司不参与新能源汽车动力总成测试设备低端市场竞争，依托本地化服务、自主研发和定制化方案，在中高端市场积累核心客户资源，并已与海外客户建立合作关系。,58,86,86,0,3,55,16,11,1,0,1,0.0116279069767441,2,1,1.441860465116279,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0007,688071,华依科技,1210551602,7,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7466,7279,3922,3922,18,3922,220,220,公司专注汽车动力总成智能测试设备及测试服务，创始团队拥有近20年行业经验，截至招股说明书签署日取得80项国内专利、77项软件著作权，核心技术与主营业务结合紧密。公司2003年参与上汽通用项目，早期将数字化测试技术产业化为发动机冷试产品，后拓展至变速箱、涡轮增压器、水油泵、新能源总成及测试服务。公司作为“发动机冷试方法”行业标准第一起草单位，2020年智能测试设备收入2.56亿元，按测算市场规模40.37亿元计算，市场占有率约6.34%。,110,92,92,0,4,26,16,23,17,6,23,0.25,3,-20,2.4456521739130435,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0008,688071,华依科技,1210551602,8,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7656,7452,3968,3968,18,3968,220,220,公司围绕汽车动力总成提供智能测试设备和测试服务，面向开发试验、工程验证和品质保障形成系统化支撑，并凭借技术和服务实现海外出口。公司在国内中高端动力总成测试领域与AVL、FEV、Ricardo、Horiba等国际厂商竞争，依靠性价比、本地化服务和非标定制设计逐步打破外资垄断。公司拥有80项授权专利和77项软件著作权，2003年涉足汽车智能测试，作为发动机冷试行业标准第一起草单位，产品线覆盖变速箱、涡轮增压器、水油泵、新能源总成等细分领域。,110,88,88,0,3,24,18,27,13,3,16,0.1818181818181818,3,-13,2.363636363636364,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0009,688071,华依科技,1210551602,9,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7033,6524,3967,3967,18,3967,246,246,公司2019年向韩国雷诺三星交付首例海外发动机冷试设备项目，并与马来西亚宝腾、印度标致雪铁龙确认合作，2020年完成通过上海ABB承接的雷诺法国工厂、日产日本工厂总装线测试台项目。公司在发动机、变速箱等动力总成测试设备领域居于国内领先地位，是国内少有可与国际龙头直接竞争的高新技术企业。2020年公司营业收入3.02亿元、净利润0.45亿元，产品及服务覆盖动力总成各细分测试领域。报告期内公司定制化测试设备产销率均为100%，2020年前五大客户销售额1.459亿元，占销售收入48.33%。,123,76,76,0,4,20,12,20,15,5,20,0.2631578947368421,4,-16,2.486842105263158,,glm4_dewrap_join_full543_20260705
688071_1210551602_glm4_dewrap_join_chunk_0010,688071,华依科技,1210551602,10,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688071_1210551602_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5191,4698,3314,3314,18,3314,264,264,报告期内公司对单个客户和单个供应商的销售、采购比例均未超过50%，相关董监高、核心技术人员及5%以上股东未在主要客户或供应商中占有权益。公司原材料分机械类、电气类和其他，2020年主要原材料采购额1.058亿元，占原材料采购总额91.34%，供应商包括西门子、三菱电机、费斯托、基恩士等。2020年向东芝三菱采购2845.62万元，同时销售测试设备确认收入1745.47万元，采购与销售相互独立、定价公允。报告期末公司固定资产净值1.5116亿元，机器设备净值1.4742亿元，并披露多项发动机、变速箱、涡轮增压器测试相关专利。,132,64,64,0,3,8,10,17,21,5,26,0.40625,4,-22,2.9375,,glm4_dewrap_join_full543_20260705
