custom_id,sec_code,sec_name,announcement_id,source_run_name,chunk_index,chunk_count,chunk_file,chunk_token_proxy,chunk_chars,chunk_compact_chars,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,Redundancy_chunk,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target
688021_1207048360_tok_chunk_0001,688021,奥福环保,1207048360,star_token_proxy_150_20260630,1,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0001.txt,3966,9069,7932,261.0,261.0,公司专注蜂窝陶瓷技术研发应用，产品包括直通式载体、DPF、节能蓄热体及以蜂窝陶瓷为核心部件的RTO、RCO设备，主要用于柴油车尾气和石化、印刷、医药、电子等行业VOCs治理。发行人重点研发并产业化柴油车尾气处理核心部件大尺寸蜂窝陶瓷载体，打破国外厂商垄断并填补国内空白，连续承担“十一五”至“十三五”期间国家863计划和国家重点研发计划关键课题。截至2019年8月23日，公司已有147项国六等排放标准测试项目，产品供应优美科、庄信万丰、巴斯夫等催化剂厂商，并进入中国重汽、潍柴动力、玉柴动力、康明斯、戴姆勒等供应商名录。,131.0,93.0,93.0,0.0,16.0,42.0,12.0,10.0,10.0,3.0,13.0,0.1397849462365591,3.0,-10.0,1.6236559139784943,,30.27480916030534,100,35,25.214321734745337,8.825012607160867
688021_1207048360_tok_chunk_0002,688021,奥福环保,1207048360,star_token_proxy_150_20260630,2,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0002.txt,3990,8879,7980,231.0,231.0,蜂窝陶瓷载体是汽车尾气治理关键核心部件，美国康宁和日本NGK合计占据全球90%市场份额，大尺寸蜂窝陶瓷载体领域份额更高。公司研发带头人参加863重点攻关课题并攻克大尺寸蜂窝陶瓷载体技术，发行人完成产业化建设，相关成果被评为打破国外垄断、填补国内空白，并获国家科学技术进步二等奖。发行人构建以堇青石材料结构及结晶控制技术、高性能蜂窝陶瓷载体制备工艺技术为核心的技术体系，掌握大尺寸蜂窝陶瓷载体从配方、模具到烧成控制的规模化生产关键技术，达到国内领先、国际先进水平。,116.0,85.0,85.0,0.0,15.0,48.0,10.0,5.0,5.0,2.0,7.0,0.0823529411764705,3.0,-4.0,1.3294117647058823,,34.39655172413793,97,36,24.31077694235589,9.022556390977444
688021_1207048360_tok_chunk_0003,688021,奥福环保,1207048360,star_token_proxy_150_20260630,3,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0003.txt,3935,8751,7870,244.0,244.0,公司自2009年成立以来专注蜂窝陶瓷技术研发应用，产品从节能蓄热体拓展至技术要求更高的内燃机尾气处理催化剂载体，并战略聚焦柴油车大尺寸载体。公司研发带头人参与863课题并攻克大尺寸蜂窝陶瓷载体技术，发行人完成产业化建设，相关成果获国家科学技术进步二等奖。公司VOCs废气处理设备由节能蓄热体衍生，节能蓄热体是RTO、RCO核心部件。公司量产蜂窝陶瓷载体热膨胀系数、壁厚、目数等指标符合《指导目录》，奥福产品热膨胀系数≤0.29×10-6/℃、颗粒捕捉效率≥99%、DPF过滤效率≥95%。,122.0,79.0,79.0,0.0,13.0,39.0,12.0,4.0,8.0,3.0,11.0,0.1392405063291139,4.0,-7.0,1.5443037974683544,,32.25409836065574,161,47,40.914866581956794,11.944091486658195
688021_1207048360_tok_chunk_0004,688021,奥福环保,1207048360,star_token_proxy_150_20260630,4,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0004.txt,3930,8788,7859,228.0,228.0,国六标准下SCR载体需达到壁厚3-5mil、热膨胀系数≤0.50×10-6/℃，DPF还需满足孔隙率和中值孔径指标，蜂窝陶瓷载体升级迭代加快。公司SCR载体生产工艺有19道工序、DPF有23道工序，载体制造受主辅材料配比、混料、模具、挤出、干燥、烧成、温场控制等多环节影响，量产合格稳定产品难度高。蜂窝陶瓷载体全球市场长期由康宁和NGK垄断，二者合计约占90%以上市场份额；2017年我国重型商用货车前五大厂商产量合计占比83.55%，且均使用发行人产品。,114.0,78.0,78.0,0.0,12.0,41.0,10.0,5.0,7.0,3.0,10.0,0.1282051282051282,3.0,-7.0,1.5256410256410255,,34.473684210526315,122,80,31.043256997455472,20.356234096692113
688021_1207048360_tok_chunk_0005,688021,奥福环保,1207048360,star_token_proxy_150_20260630,5,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0005.txt,3844,8853,7687,248.0,248.0,"国六阶段柴油车需采用DOC、DPF、SCR、ASC技术路线，重型商用车平均排量10L，对应单车使用SCR、DOC、DPF体积分别为20L、7L、15L，载体需求随排量增加。发行人2018年开始量产DPF并出口美国汽车后市场，成为AP、Skyline等主要服务商的直接供应商。预计2025年我国汽车蜂窝陶瓷载体需求量达到26,010万升、市场空间近100亿元，全球汽车市场需求达到74,100万升、约250亿元；康宁和NGK占全球90%左右份额，国内企业中奥福环保、凯龙蓝烽、宜兴化机规模相对较大。",124.0,87.0,87.0,0.0,14.0,50.0,8.0,5.0,7.0,3.0,10.0,0.1149425287356321,3.0,-7.0,1.4252873563218391,,31.0,71,20,18.47034339229969,5.202913631633715
688021_1207048360_tok_chunk_0006,688021,奥福环保,1207048360,star_token_proxy_150_20260630,6,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0006.txt,3900,8593,7800,240.0,240.0,蜂窝陶瓷载体行业将受国六排放标准推动加速淘汰升级，国内主机和整车厂商逐步开启国产替代，国外寡头垄断格局正在被逐步打破。公司采用氧化燃烧技术处理VOCs废气，可处理低、高浓度有机废气，设备简单、投资少、操作方便，应用较广。公司取得国五压燃式发动机型式核准证书42个，仅次于NGK和康宁并位居国内载体厂商首位；2016-2018年装载公司SCR载体的商用货车占我国商用货车比例由3.50%升至9.49%，大尺寸SCR载体对应重型商用货车比例为10.13%、17.24%、16.85%。,120.0,91.0,91.0,0.0,13.0,48.0,13.0,7.0,7.0,3.0,10.0,0.1098901098901098,3.0,-7.0,1.5164835164835164,,32.5,114,48,29.23076923076923,12.307692307692308
688021_1207048360_tok_chunk_0007,688021,奥福环保,1207048360,star_token_proxy_150_20260630,7,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0007.txt,3851,8813,7701,254.0,254.0,发行人深耕柴油车用蜂窝陶瓷载体，在重型柴油车大尺寸载体制造技术及产业化方面打破国外垄断、填补国内空白，国四、国五产品市场占有率提升。公司客户覆盖优美科、庄信万丰、重汽橡塑、贵研催化、中自环保、威孚环保、艾可蓝等催化剂厂商，较其他国内厂商获得更多认可。公司产品热膨胀系数最优0.16×10-6℃-1，壁厚3mil；大尺寸DPF背压8.9in.H2O，优于康宁10.69in.H2O和NGK13.2in.H2O。公司大尺寸SCR载体和DPF主要性能指标与国外竞争对手处于同一水平，技术处于国内领先、国际先进水平。,127.0,86.0,86.0,0.0,14.0,25.0,16.0,9.0,14.0,8.0,22.0,0.2558139534883721,4.0,-18.0,2.0930232558139537,,30.322834645669293,136,76,35.315502466891715,19.735133731498312
688021_1207048360_tok_chunk_0008,688021,奥福环保,1207048360,star_token_proxy_150_20260630,8,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0008.txt,3956,8746,7911,320.0,320.0,截至2019年6月30日，公司研发人员75人，占总人数13.37%，公司及技术研发带头人承担“十一五”至“十三五”期间11项国家863计划和国家重点研发计划课题。公司掌握堇青石材料晶体合成与定向生长技术，并形成SCR、DPF、DOC大载体配方、DPF非对称孔结构大载体配方和GPF配方等技术体系。公司具备模具自主设计制造能力，并自主研发窑炉温度自动控制及烧成技术。2014年，公司参与的“重型柴油车污染排放控制高效SCR技术研发及产业化”获国家科学技术进步二等奖，大尺寸SCR载体报告期收入占营业收入49.98%至76.06%。公司还储备国六柴油车DOC、SCR、DPF、ASC及国六汽油车TWC、GPF技术和产品，具备全系列载体供应能力。,160.0,102.0,102.0,0.0,15.0,28.0,16.0,12.0,20.0,11.0,31.0,0.3039215686274509,5.0,-26.0,2.264705882352941,,24.725,405,144,102.37613751263903,36.400404448938325
688021_1207048360_tok_chunk_0009,688021,奥福环保,1207048360,star_token_proxy_150_20260630,9,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0009.txt,3853,8739,7705,245.0,245.0,"公司与优美科、庄信万丰、巴斯夫及重汽橡塑、威孚环保、中自环保、贵研催化、艾可蓝等催化剂企业建立长期合作，并进入中国重汽、潍柴动力、玉柴动力、康明斯、戴姆勒等供应商名录。报告期内蜂窝陶瓷载体为核心收入来源，2019年1-6月收入11,897.32万元、占90.95%，2018年占73.21%。公司蜂窝陶瓷载体2019年1-6月产能367.50万升、产量357.99万升、销量328.16万升，产能利用率97.41%。前五大客户2019年1-6月销售合计7,916.42万元、占60.46%。",123.0,102.0,102.0,0.0,18.0,10.0,21.0,35.0,15.0,3.0,18.0,0.1764705882352941,4.0,-14.0,2.2745098039215685,,31.32520325203252,102,31,26.47287827666753,8.045678691928368
688021_1207048360_tok_chunk_0010,688021,奥福环保,1207048360,star_token_proxy_150_20260630,10,15,results/star_token_proxy_250_late50_20260702/chunks/688021_1207048360_tok_chunk_0010.txt,3960,9534,7920,248.0,248.0,"报告期内发行人前五大客户较稳定，各期合计9家公司，2018年前五大客户销售15,178.85万元、占61.14%，2017年15,530.16万元、占79.19%，2016年6,297.83万元、占67.81%。蜂窝陶瓷载体主要客户与发行人长期合作，2019年1-6月优美科、重汽橡塑、中自环保、庄信万丰、潍柴净化为前五大客户。VOCs废气处理设备因环保达标和产线改造需求采购，定制化程度高、连续性较弱。节能蓄热体客户以钢厂和工业炉企业为主，2019年1-6月张家港宏昌钢板销售197.80万元。",124.0,88.0,88.0,0.0,16.0,8.0,19.0,30.0,12.0,3.0,15.0,0.1704545454545454,4.0,-11.0,2.261363636363636,,31.93548387096774,58,10,14.646464646464647,2.5252525252525255
