custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,summary_glm4_tokens,Summary_len_proxy,Summary_len_glm4,Redundancy_chunk_proxy,Redundancy_chunk_glm4,Redundancy_chunk_proxy_w99,Redundancy_chunk_glm4_w99,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,source_glm_batch,source_dir,source_shard
688099_1206491566_glm4_dewrap_join_chunk_0001,688099,晶晨股份,1206491566,1,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6993,6444,3998,3998,10,3998,333,333,公司主营业务为多媒体智能终端SoC芯片的研发、设计与销售，产品应用于智能机顶盒、智能电视和AI音视频系统终端。公司采用12纳米技术制造工艺，产品技术先进性、市场覆盖率和性能稳定性位居行业前列。公司是全球领先的集成电路设计商，为智能机顶盒芯片的领导者、智能电视芯片的引领者和AI音视频系统终端芯片的开拓者。公司采用Fabless模式，专注于集成电路的设计研发和销售。公司芯片产品具有性能高、体积小、功耗低、发热小、兼容性强等特点，在视频编解码及视觉处理等方面可以实现多格式高兼容，且集成度高，有助于整机产品降低成本并实现快速量产。公司智能机顶盒芯片、智能电视芯片及AI音视频系统终端芯片产品销量有不同程度的增长，其中，智能电视芯片及AI音视频系统终端芯片增长尤为迅速。,167,62,62,0,0,12,15,20,12,3,15,0.2419354838709677,6,-9,2.661290322580645,,185,167,185,23.940119760479043,21.61081081081081,23.940119760479043,21.61081081081081,164,108,41.02051025512756,27.01350675337669,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0002,688099,晶晨股份,1206491566,2,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7028,6675,3985,3985,10,3985,280,280,公司从事多媒体智能终端SoC芯片研发设计，晶圆生产委托台积电，封装测试委托长电科技、天水华天。报告期内，公司向台积电采购金额占总采购额比例分别为79.18%、76.26%、68.83%，向长电科技采购金额占比分别为17.97%、21.82%、21.91%。公司与台积电、长电科技等主要供应商签署长期有效的框架协议。公司采用‘经销为主、直销为辅’的销售模式，主要产品为多媒体智能终端SoC芯片，面向智能机顶盒、智能电视和智能音箱等消费类电子产品生产商。公司已成为国内最大的智能机顶盒、智能电视和AI音视频系统终端等智能多媒体SoC芯片和全系统解决方案供应商之一。,140,62,62,0,15,20,12,8,5,2,7,0.1129032258064516,6,-1,1.5806451612903225,,165,140,165,28.464285714285715,24.151515151515152,28.464285714285715,24.151515151515152,158,106,39.6486825595985,26.599749058971145,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0003,688099,晶晨股份,1206491566,3,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7249,6621,3916,3916,10,3916,142,142,公司是全球IC设计行业的重要参与者，2018年国内IPTV/OTT机顶盒芯片市场份额32.6%，位居第二。智能电视SoC芯片出货量超2000万颗，位居国内前列。AI音视频系统终端芯片被百度、小米等企业采用。公司技术水平达到12nm制程，支持8K解码。公司产品迭代周期为30-40个月。,71,62,62,0,15,20,12,8,5,2,7,0.1129032258064516,5,-2,1.5806451612903225,,83,71,83,55.15492957746479,47.18072289156626,55.15492957746479,47.18072289156626,109,42,27.834525025536266,10.725229826353422,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0004,688099,晶晨股份,1206491566,4,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7049,6583,3999,3999,10,3999,238,240,公司采用12nm制程工艺，支持4K、8K解码能力，应用于智能机顶盒、智能电视芯片，并完成T972和T962X3芯片流片。公司在中国、美国设立研发中心，业务覆盖全球主要经济区域。公司毛利率34.81%-35.19%，存货周转率4.08-6.46次/年，期间费用率21.38%-27.73%。公司拥有全格式视频解码处理、芯片级安全解决方案等核心技术，芯片产品应用于小米、阿里巴巴、Google等企业。公司技术研发人员占比81.13%，掌握4K 60帧HDR 10比特的全4K特性技术。,119,54,54,0,12,15,10,8,6,3,9,0.1666666666666666,6,-3,1.8148148148148149,,142,119,142,33.60504201680672,28.161971830985916,33.60504201680672,28.161971830985916,136,51,34.00850212553138,12.753188297074267,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0005,688099,晶晨股份,1206491566,5,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7244,6605,3999,3999,10,3999,234,234,公司主营多媒体智能终端SoC芯片研发、设计及销售，产品包括智能机顶盒芯片、智能电视芯片和AI音视频系统终端芯片。报告期内，公司前五大客户合计销售金额占营业收入比例较高，客户集中度较高。公司面临的主要挑战包括研发投入较大、高端专业人才需求较大、产业创新要素积累不足等。公司进入行业的主要壁垒包括技术壁垒、规模壁垒、人才壁垒、客户壁垒和资本壁垒。公司前五大客户中，路必康公司、文晔科技股份有限公司、小米、深圳市中兴康讯电子有限公司和中国电子器材国际有限公司为公司主要客户。,117,62,62,0,12,20,15,8,5,2,7,0.1129032258064516,5,-2,1.6774193548387095,,129,117,129,34.17948717948718,31.0,34.17948717948718,31.0,131,36,32.75818954738684,9.00225056264066,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0006,688099,晶晨股份,1206491566,6,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7291,6722,3977,3977,10,3977,240,240,公司2018年前五大客户中，小米销售单价较高因采购芯片集成DDR内存；AI音视频系统终端芯片2017年推出后，客户采购金额大幅增加。经销模式下，路必康公司因服务小米加大采购量，成为第一大经销商；中国电子器材国际有限公司因采购量大获得价格优惠。直销模式下，小米2018年成为第一大客户，采购智能电视芯片和智能音箱芯片；中兴通讯因美国制裁采购额下降。2018年公司开始境内销售，主要销售给小米智能电视芯片。报告期内，公司前五大客户存在波动，主要因经销商自身经营和终端客户采购安排变化。,120,68,68,0,12,28,15,8,4,1,5,0.0735294117647058,5,0,1.5147058823529411,,134,120,134,33.141666666666666,29.67910447761194,33.141666666666666,29.67910447761194,106,37,26.653256223283883,9.303495096806635,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0007,688099,晶晨股份,1206491566,7,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6865,6355,3992,3992,10,3992,255,255,"公司与小米、中兴通讯等直销客户形成稳定合作关系，通过直销模式提供智能芯片产品。公司芯片产品以稳定质量、优异性能、超低功耗赢得客户信赖，品牌影响力不断增强。报告期内，公司对创维销售收入逐年下降，2018年为5,256.83万元。公司主要原材料为晶圆和封装测试服务，2018年采购金额分别为12.03亿元和4.50亿元。公司主要供应商为台积电和长电科技，采购金额变动趋势与主营业务收入变动趋势一致。公司固定资产主要为房屋及建筑物，以及电子设备、运输工具、办公设备等，截至2018年底账面价值18,895.27万元。",128,62,62,0,15,18,12,10,5,2,7,0.1129032258064516,6,-1,1.6451612903225807,,145,128,145,31.1875,27.53103448275862,31.1875,27.53103448275862,149,96,37.324649298597194,24.04809619238477,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0008,688099,晶晨股份,1206491566,8,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6976,6356,3988,3988,10,3988,227,227,公司拥有49项专利（境内16项、境外33项）、40项集成电路布图设计专有权和8项计算机软件著作权，均自主研发且权属清晰。公司核心技术包括全格式视频解码处理、全格式音频解码处理等11项，处于国内领先水平，部分技术国际领先。公司自主研发的8K和4K视频解码技术支持H.265、VP9等格式，音频解码技术支持主流格式及音效处理。公司芯片被小米、阿里巴巴、Google等知名企业及中国移动、中国电信等运营商采用。公司正在申请且已取得受理通知书的专利为290余项。,114,62,62,0,24,10,8,9,7,4,11,0.1774193548387097,5,-6,1.6290322580645162,,132,114,132,34.98245614035088,30.21212121212121,34.98245614035088,30.21212121212121,194,89,48.64593781344032,22.31695085255767,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0009,688099,晶晨股份,1206491566,9,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6642,5831,3981,3981,10,3981,193,193,公司专注于多媒体智能终端SoC芯片设计，核心技术包括视频和音频编解码技术，已研发支持8K解码的智能电视SoC芯片。报告期内，核心技术产品收入占营业收入比重超过99%，研发投入占营业收入比例平均为16.67%。公司拥有集成电路设计企业、高新技术企业等多项资质，并获多项创新产品和技术奖项。截至2018年末，公司研发人员619人，占员工总数81.13%，其中研究生及以上学历占比37.8%。,97,62,62,0,12,15,10,12,9,4,13,0.2096774193548387,6,-7,2.0483870967741935,,100,97,100,41.04123711340206,39.81,41.04123711340206,39.81,215,88,54.00653102235619,22.10499874403416,glm100,,
688099_1206491566_glm4_dewrap_join_chunk_0010,688099,晶晨股份,1206491566,10,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,3729,3581,1995,1995,10,1995,198,199,公司智能机顶盒和智能电视芯片研发人员人均创收同比变动显著，AI音视频芯片研发人员人均创收同比大幅增长。公司核心技术人员包括Michael Yip、潘照荣、钟富尧、石铭，拥有丰富研发经验和多项专利。公司拥有11项核心技术、49项专利和40项集成电路布图设计，研发投入占营业收入比例平均为16.67%。公司境外销售收入占营业收入比例分别为100%、100%及96.35%，主要由境外子公司晶晨香港完成。,99,35,35,0,10,8,7,4,4,2,6,0.1714285714285714,6,0,1.7142857142857142,,109,99,109,20.151515151515152,18.30275229357798,20.151515151515152,18.30275229357798,188,77,94.23558897243107,38.59649122807018,glm100,,
