custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,source_dir
688559_1208358657_glm4_dewrap_join_chunk_0001,688559,海目星,1208358657,1,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6666,6291,3982,3982,18,3982,290,290,"公司为激光及自动化综合解决方案提供商，面向消费电子、动力电池、钣金加工等行业研发、设计、生产及销售设备，核心能力为激光光学及控制技术、配套自动化技术。主要产品分为动力电池激光及自动化设备、通用激光及自动化设备、显示及脆性材料精密激光及自动化设备，客户包括苹果、华为、富士康、特斯拉、CATL、京东方、蓝思科技等。2019年主营业务收入94,592.33万元，其中通用激光及自动化设备占54.45%，动力电池设备占35.16%，显示及脆性材料设备占10.38%。公司研发采用集成产品开发模式，生产以“以销定产”并辅以战略储备，外协加工占主营业务成本比例最高为2019年的0.30%。",145,82,82,0,6,9,24,28,12,3,15,0.1829268292682926,4,-11,2.4878048780487805,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0002,688559,海目星,1208358657,2,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6891,6295,3996,3996,18,3996,233,233,公司设备销售结算以分阶段收款为主，动力电池激光及自动化设备多采用“3-3-3-1”模式，即预付款、发货款、验收款各30%，质保金10%，质保期以1-2年为主。钣金激光切割机等标准化产品通常以预付款及发货款为主，部分客户采用款到发货或预收90%；非标准化3C产线及显示、脆性材料设备多包含预付款、发货款、验收款和质保金。公司主要产品为激光及自动化设备，部分激光器自产并用于激光打标及精密切割设备，生产污染物主要为污水、噪声和固废，报告期内未发生重大环保事故或环保处罚。,117,96,96,0,13,53,18,8,4,0,4,0.0416666666666666,3,-1,1.34375,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0003,688559,海目星,1208358657,3,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7139,6813,3960,3960,18,3960,186,186,"公司在激光及自动化领域形成多项激光光学及控制技术、配套自动化技术，应用于消费电子、动力电池、钣金等行业。2018年，公司在消费电子、动力电池和钣金行业收入分别为24,852.29万元、25,805.59万元、22,179.13万元。消费电子领域，公司推出全自动精密线路板激光切割设备、PCB激光打标机、全面屏全自动激光切割机、OLED激光钻孔机、全自动VCM组装线等产品。",93,75,75,0,7,55,6,4,3,0,3,0.04,3,0,1.2133333333333334,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0004,688559,海目星,1208358657,4,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7118,6730,3970,3970,18,3970,129,129,公司在动力电池行业推出高速激光制片机、电芯装配线、激光切割分条一体机等设备，在钣金行业推出钣材激光切割机、专业管材激光切割机等设备，为多行业客户提供标准化和定制化产品服务。公司产品依托多年技术和工艺积累，应用于动力电池前中段工艺及钣材、管材高功率切割等场景。,65,73,73,0,5,58,7,2,1,0,1,0.0136986301369863,2,1,1.1232876712328768,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0005,688559,海目星,1208358657,5,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6606,6265,3895,3895,18,3895,313,313,"公司以激光光学及控制技术、配套自动化技术为核心，在动力电池领域客户包括宁德时代、特斯拉、力神、长城汽车、蜂巢能源、中航锂电、亿纬锂能、欣旺达，消费电子领域客户包括Apple、华为、富士康、伟创力、比亚迪、京东方、蓝思科技等。公司具备激光器设计及生产能力，自主开发20W紫外纳秒激光器、35W绿光纳秒激光器等产品，自产激光器全部用于自产设备。公司纳秒紫外、纳秒绿光、皮秒系列激光器在功率波动、光斑圆度、开机时间、脉冲宽度等指标上达到或优于同类产品，处于行业先进水平。2019年公司营业收入103,092.39万元、毛利率36.25%，研发投入8,825.22万元，占营业收入8.56%，研发人员323人，占员工总数15.57%。",157,64,64,0,3,13,11,20,13,4,17,0.265625,4,-13,2.609375,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0006,688559,海目星,1208358657,6,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7076,6718,3967,3967,18,3967,213,213,公司为激光及自动化综合解决方案提供商，产品包括通用激光及自动化设备、动力电池激光及自动化设备、显示及脆性材料精密激光及自动化设备，面向3C、锂电、新能源汽车等领域。公司在激光、自动化、智能化相关光机电软领域形成核心技术，截至签署日拥有国内专利261项，其中发明专利33项。报告期内生产调试人员工时利用率由102.46%升至126.12%，激光打标机和钣金激光切割机产销率整体较高，2019年分别为106.49%和93.18%。,107,68,68,0,6,18,13,15,13,3,16,0.2352941176470588,3,-13,2.2941176470588234,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0007,688559,海目星,1208358657,7,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6319,5832,3950,3950,18,3950,275,275,"报告期内，公司主要产品收入由60,730.28万元增至94,592.33万元，2019年通用激光及自动化设备、动力电池激光及自动化设备、显示及脆性材料精密激光及自动化设备收入占比分别为54.45%、35.16%、10.38%。激光打标机2019年单价降至16.42万元/台，主要受自产激光器配置变化影响；钣金激光切割机单价由62.05万元/台降至54.71万元/台，受激光器国产替代降价及功率结构变化影响。2019年前五大客户收入47,070.82万元，占营业收入45.66%，其中中国航空规划设计研究总院、华之欧系、宁德时代系和蜂巢能源为重要客户。",138,74,74,0,4,10,14,18,23,5,28,0.3783783783783784,4,-24,2.824324324324324,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0008,688559,海目星,1208358657,8,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6283,5804,3892,3892,18,3892,296,296,"公司从事3C消费电子、锂电池等激光及自动化设备研发、设计、生产及销售，前五大客户变动主要受下游扩产、产线更新及项目验收节奏影响。截至2020年3月31日，公司在手订单含税112,829.73万元，其中动力电池类75,350.35万元、3C消费电子类30,148.36万元。报告期内境内收入占比保持在89%以上，2019年境内前五大客户合计45,865.87万元，占营收44.49%；境外前五大客户合计4,164.30万元，占营收4.04%。主要采购原材料中激光光学类、机加钣金类及设备仪器类占比较高，2017年至2019年三者合计占采购总额比例分别为67.37%、67.18%和64.83%。",148,71,71,0,5,8,13,18,22,5,27,0.380281690140845,4,-23,2.8309859154929575,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0009,688559,海目星,1208358657,9,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6338,5787,3978,3978,18,3978,266,266,"报告期内，公司主要原材料单价随设备结构、功率型号和定制需求波动，2019年激光器均价117,865.89元/件，同比下降35.65%，主要因高功率激光器采购占比降低及国产替代降价。2019年外购整机均价同比上升100.81%，与蜂巢能源、中航锂电等大型项目外采全自动电芯物流线、包膜机、热压机等设备有关。2019年前五大供应商采购额18,848.35万元，占采购金额24.58%，深圳市创鑫激光、阿帕奇、誉辰自动化为主要供应商。公司截至2019年末固定资产原值16,810.07万元，净值15,027.31万元，成新率89.39%。",133,72,72,0,4,9,13,17,24,5,29,0.4027777777777778,4,-25,2.875,,glm4_dewrap_join_full543_20260705
688559_1208358657_glm4_dewrap_join_chunk_0010,688559,海目星,1208358657,10,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5471,4877,3462,3462,18,3462,263,263,"公司部分租赁房产未取得权属证明，其中深圳主要经营场所已申报普查且未接到拆迁任务，相关部门复函显示部分租赁物业不在土地整备、征地拆迁或城市更新拟拆除范围内，实际控制人承诺承担因租赁瑕疵导致的搬迁、处罚等损失。公司拥有江门、江苏两处工业用地土地使用权，面积分别为66,621.03平方米、137,614平方米及50,045平方米。截至签署日，公司境内注册商标4项、境外主要注册商标2项，并拥有国内专利261项，其中发明专利33项、实用新型226项、外观设计2项，专利覆盖电池装配、极片切割、激光焊接、视觉定位、紫外激光加工等技术。",132,63,63,0,7,11,14,15,14,2,16,0.2539682539682539,4,-12,2.380952380952381,,glm4_dewrap_join_full543_20260705
