custom_id,sec_code,sec_name,chunk_index,summary_token_proxy,relevant_score,summary_text,old_summary_token_proxy,old_relevant_score,old_summary_text,summary_token_proxy_delta,relevant_score_delta
688123_1207173489_glm4_dewrap_join_chunk_0001,688123,聚辰股份,1,160,2.5483870967741935,公司为集成电路设计企业，主营业务为集成电路产品的研发设计和销售，并提供应用解决方案和技术支持服务。公司拥有EEPROM、音圈马达驱动芯片和智能卡芯片三条主要产品线，产品广泛应用于智能手机、液晶面板、医疗仪器等领域。公司是全球领先的EEPROM芯片设计企业，2018年全球市场份额约8.17%，在智能手机摄像头EEPROM细分领域排名第一，占有全球约42.72%的市场份额。公司EEPROM产品具有高可靠性、宽电压、低功耗等特点，被评为2013-2019年上海名牌产品。公司音圈马达驱动芯片产品具有聚焦时间短、体积小、误差率低等优点。公司智能卡芯片产品曾通过中国信息安全测评中心EAL4+安全认证，获得国家密码管理局商用密码产品型号二级证书。,136,2.426829268292683,公司为集成电路设计企业，主营集成电路产品研发设计和销售，并提供应用解决方案和技术支持，形成 EEPROM、音圈马达驱动芯片和智能卡芯片三条产品线。2018年公司为全球第三大 EEPROM 供应商，份额约8.17%，国内 EEPROM 企业第一；在智能手机摄像头 EEPROM 领域全球第一，份额约42.72%，产品进入三星、华为、vivo、OPPO、小米等终端。公司 EEPROM 覆盖2Kbit-1024Kbit容量，工艺和存储单元由0.35um/7.245um2升级至0.13um/1.01um2，芯片厚度由490um减薄至280um并开发200um方案。,24,0.12155782848151064
688123_1207173489_glm4_dewrap_join_chunk_0002,688123,聚辰股份,2,109,2.3,公司EEPROM产品技术迭代周期约2-3年，已从0.35um/7.245um2升级至0.13um/1.01um2，并成功量产128Kbit容量产品。公司经营模式为Fabless模式，将晶圆制造、封装测试等环节委外。公司主要供应商为中芯国际、长电科技等，合作关系稳定。公司销售模式为“经销为主、直销为辅”，经销模式销售额占比稳定在86%左右。公司各类芯片产品为标准化通用型产品，在下游不同终端客户相近的应用领域之间使用不存在实质性障碍。,171,2.2948717948717947,发行人 EEPROM 技术迭代集中在工艺制程和存储单元，自设立以来由0.35um/7.245um2、0.18um/2.88um2、0.13um/1.64um2、0.13um/1.26um2升级至0.13um/1.01um2，同一工艺和存储单元完成系列容量开发通常需2-3年，2018年已实现该工艺下128Kbit量产。报告期主营收入以 EEPROM 为主，2016年至2019年1-6月收入占比分别为78.10%、84.40%、89.20%、88.42%。公司采用 Fabless 模式，委外晶圆制造、封装测试，主要晶圆供应商为中芯国际，封测供应商包括江阴长电、日月光半导体等；销售以经销为主，2016年至2019年1-6月经销占比分别为83.70%、86.75%、89.12%、86.55%。,-62,0.00512820512820511
688123_1207173489_glm4_dewrap_join_chunk_0003,688123,聚辰股份,3,137,1.5806451612903225,公司负责将产品运至经销商指定地点并承担运输费用，其余费用不承担。公司EEPROM、音圈马达驱动芯片主要下游客户为手机模组厂、液晶面板厂商等，与主要终端客户保持稳定合作关系。公司通过可靠质量、快速服务和持续关注客户需求维护客户稳定性。公司采用Fabless模式专注芯片研发设计，降低固定资产投资风险，提升生产灵活性。公司主营业务、主要产品和经营模式自设立以来未发生重大变化。公司芯片产品工艺流程包括芯片设计、晶圆制造、芯片封装和测试。公司采用Fabless经营模式，自身不从事芯片生产和加工，将晶圆制造、封装测试等环节通过委外方式进行，不产生污染物。,126,1.955223880597015,公司主要客户多为长期合作客户，EEPROM、音圈马达驱动芯片的主要下游终端客户为手机模组厂、液晶面板厂商等，且公司产品在主要经销商同类产品中占比较高，经销商变动导致主要终端客户流失的风险较小。公司销售定价综合参考同类产品市场价格、竞争情况、客户区域拓展、合作关系和成本，经销模式下会与终端客户协商销售指导价，再与经销商确定销售价格。境外销售采用经销为主、直销为辅，通常由上海总部发货至香港进出口再对外销售，主要境外客户位于中国香港、中国台湾、韩国，报告期境外销售未受当地进口政策或贸易摩擦重大不利影响。,11,-0.3745787193066925
688123_1207173489_glm4_dewrap_join_chunk_0004,688123,聚辰股份,4,108,1.4074074074074074,"国内集成电路行业在政策与需求驱动下迅速扩张，2018年销售额达6,532亿元，同比增长20.7%。集成电路设计业作为产业链上游，2018年销售额达2,519.3亿元，占比提升至38.57%。存储芯片作为集成电路基础性产品，2018年全球市场规模达1,580亿美元，占集成电路市场40.17%，国内市场销售额达5,775亿元。EEPROM和Flash芯片占据非易失性存储芯片市场主要份额，分别适用于小规模参数存储和大容量数据存储需求。",88,1.2857142857142858,"公司所属行业为“C39计算机、通信和其他电子设备制造业”，主营集成电路产品研发设计和销售，处于集成电路设计环节。行业披露显示，2018年中国集成电路行业销售额为6,532亿元，同比增长20.7%，2014年至2018年复合年均增长率21.3%；同期集成电路设计业销售额2,519.3亿元，同比增长21.5%，设计环节占行业销售额比例升至38.57%。",20,0.12169312169312163
688123_1207173489_glm4_dewrap_join_chunk_0005,688123,聚辰股份,5,96,1.351851851851852,国内存储芯片市场快速增长，2018年销售额达714亿美元，同比增长5.61%。EEPROM市场规模2018年达7.14亿美元，预计2023年达9.05亿美元，智能手机摄像头和汽车电子是主要驱动力。2018年全球智能手机摄像头对EEPROM需求量达21.63亿颗，预计2023年达55.25亿颗。液晶面板领域2018年对EEPROM需求量约7.56亿颗，预计2023年达9.68亿颗。,101,1.2142857142857142,EEPROM 是发行人核心产品所处细分市场，凭借高可靠性、百万次擦写、低成本等特性应用于消费电子、计算机及周边、工业控制、通信等领域，并受智能手机摄像头和汽车电子需求推动。赛迪顾问统计，2018年全球 EEPROM 市场规模7.14亿美元，同比增长5.61%，预计2023年达9.05亿美元；智能手机摄像头 EEPROM 需求由2016年9.08亿颗增至2018年21.63亿颗，预计2023年达55.25亿颗。,-5,0.1375661375661379
688123_1207173489_glm4_dewrap_join_chunk_0006,688123,聚辰股份,6,135,1.7884615384615383,公司是全球领先的EEPROM芯片设计企业，2018年全球市场份额约8.17%，在国内排名第一。公司专注于EEPROM领域，与中芯国际等供应商有长期战略合作，能灵活响应客户需求。公司EEPROM产品广泛应用于智能手机、液晶面板、通讯、汽车电子等众多领域，终端用户包括三星、华为、小米等知名企业。公司是智能手机摄像头EEPROM细分市场的全球领导者，2018年市场份额约42.72%，与舜宇、欧菲等模组厂商及主流手机厂商有长期合作。公司已取得中国专利44项、美国专利5项，并将全部25项核心技术应用于产品开发，实现了科技成果与产业的深度融合。,119,1.765625,发行人掌握与主营业务相关的多项核心技术，已取得中国专利44项、美国专利5项，正在申请发明专利20项、集成电路布图设计登记证书44项，并将25项核心技术应用于现有产品及募投项目产品。公司工业级EEPROM已达到国际竞争对手水平，终端用户包括三星、华为、小米、OPPO、京东方、海尔等，并通过英特尔授权AVL Labs认证。2018年公司为全球第三大EEPROM供应商，份额8.17%，在国内企业中第一；智能手机摄像头EEPROM全球第一，份额42.72%，年供货能力近10亿颗。,16,0.022836538461538325
688123_1207173489_glm4_dewrap_join_chunk_0007,688123,聚辰股份,7,146,1.625,公司2015年完成WLCSP EEPROM全系列产品布局，覆盖2Kbit-1024Kbit容量，在手机摄像头EEPROM领域全球市场份额排名第一。公司是全球最早提供128Kbit和256Kbit WLCSP EEPROM产品的供应商之一，并最早提供280um厚度解决方案。在音圈马达驱动芯片领域，公司开环产品已达到国际竞争对手水平，并通过创新算法建立技术优势，市场份额有较大提升空间。在智能卡芯片领域，公司非接触逻辑加密卡芯片达到国内领先水平，产品曾通过中国信息安全测评中心EAL4+安全认证，并获国家密码管理局商用密码产品型号二级证书。公司目前智能卡芯片市场份额较小，仍具有较大提升空间。,141,2.5128205128205128,公司2015年完成全系列WLCSP EEPROM布局，覆盖2Kbit-1024Kbit，并较早提供128Kbit、量产256Kbit产品，应用于华为Mate/P系列及三星旗舰机型摄像头模组，2017年开发200um典型厚度超薄方案。音圈马达驱动芯片方面，2018年收入占全球市场约0.63%，开环产品在工作电压、最快稳定时间、最大容忍马达频率变化范围等指标达到国际竞争对手水平，并具备驱动芯片与EEPROM二合一技术。智能卡芯片方面，公司非接触逻辑加密卡在最小工作场强、0.13um工艺和嵌入式EEPROM性能等指标达国内领先，智能卡芯片收入占国内市场约0.40%。,5,-0.8878205128205128
688123_1207173489_glm4_dewrap_join_chunk_0008,688123,聚辰股份,8,149,2.0,发行人512Kbit EEPROM产品具备400万次擦写次数、100年数据保存时间的高可靠性，人体模式静电等级达8000V，领先国内外竞争对手；待机功耗和读写功耗均低于竞争对手，体现低功耗技术优势。发行人手机摄像头EEPROM产品覆盖64Kbit-256Kbit容量，是全球最早提供128Kbit和256Kbit WLCSP EEPROM的供应商之一，市场份额全球第一。发行人基于1.01um²存储单元开发新一代产品，提升性价比。2018年发行人全球EEPROM市场份额8.17%，排名第三；手机摄像头EEPROM市场份额42.72%，排名第一。主要竞争对手包括意法半导体、微芯科技、安森美半导体等。,146,2.236111111111111,发行人512Kbit大容量EEPROM工作电压1.7V-5.5V、温度-40℃-85℃，耐擦写400万次、数据保存100年、HBM ESD达8000V，可靠性已达国际竞争对手水平，静电防护和低功耗指标领先。手机摄像头EEPROM方面，公司2015年完成2Kbit-1024Kbit WLCSP全系列布局，较早提供128Kbit并量产256Kbit产品，应用于华为Mate/P系列及三星旗舰机型。其64Kbit、128Kbit、256Kbit WLCSP产品HBM ESD均为8000V，待机及读写功耗低于公开披露的同容量竞争产品；2018年基于1.01um2存储单元实现128Kbit量产。,3,-0.23611111111111116
688123_1207173489_glm4_dewrap_join_chunk_0009,688123,聚辰股份,9,122,1.7741935483870968,公司专注于集成电路设计，拥有EEPROM、音圈马达驱动芯片和智能卡芯片等产品线。公司研发能力强，拥有境内发明专利28项、实用新型专利16项、美国专利5项及集成电路布图设计登记证书44项。公司EEPROM产品应用于三星等智能手机品牌，2018年全球市场份额约42.72%。公司已与舜宇、欧菲等模组厂商及友达、群创等面板厂商建立合作。公司通过ISO 9001及ISO/TS 16949认证，产品失效率远低于行业要求。公司研发人员占比42.38%，核心技术人员均来自国内外一流大学，具备丰富经验。,155,2.686046511627907,"2018年发行人音圈马达驱动芯片收入593.50万元，按全球1.43亿美元市场规模测算份额约0.63%；智能卡芯片收入3,861.35万元，按中国95.91亿元市场规模测算份额约0.40%。公司截至2019年6月30日拥有境内发明专利28项、实用新型16项、美国专利5项、布图设计44项，正在申请境内发明专利20项。EEPROM方面，公司通过电荷泵、ECC和1.01um2存储单元设计技术提升低电压适配、可靠性和性价比，耐擦写次数由100万次提升至400万次以上，数据保持100年以上。公司2018年为全球第一的智能手机摄像头EEPROM供应商，份额42.72%，并与舜宇、欧菲、丘钛、信利、立景、富士康等形成稳定合作。",-33,-0.9118529632408101
688123_1207173489_glm4_dewrap_join_chunk_0010,688123,聚辰股份,10,120,1.6296296296296295,公司主要生产 EEPROM、智能卡芯片和音圈马达驱动芯片，报告期内 EEPROM 产量和销量大幅增长，2017 年至 2018 年产量增长率分别为 30.69% 和 66.19%。智能卡芯片 2018 年产销率达 115.95%，音圈马达驱动芯片 2019 年上半年产销率为 64.97%。EEPROM 产品收入占比最高，2019 年上半年达 88.42%。公司销售模式以经销为主，2019 年上半年经销收入占比 86.55%。前五大客户中，深圳市智嘉电子有限公司贡献收入最多，2019 年上半年占营业收入 19.17%。,168,2.3205128205128207,"报告期内公司主要产品为EEPROM、智能卡芯片和音圈马达驱动芯片，2018年合计产量165,797.00万颗、销量156,992.32万颗，2019年1-6月合计产量99,995.71万颗、销量99,648.61万颗。EEPROM销量从2016年64,086.41万颗增至2018年126,148.02万颗，2017年和2018年增长率分别为26.53%、55.56%。主营收入以EEPROM为主，2016年至2019年1-6月收入占比分别为78.10%、84.40%、89.20%、88.42%。公司销售以经销为主，2018年经销收入38,515.65万元、占89.12%；2019年1-6月前五大客户中深圳市智嘉电子销售4,593.04万元、占营业收入19.17%。",-48,-0.6908831908831912
